timestamp,event_ticker,market_ticker,yes_price,no_price
,KXF1CHINA-27,KXF1CHINA-27,,
,KXPGASOLHEIM-SC26,KXPGASOLHEIM-SC26-USA,,
,KXPGASOLHEIM-SC26,KXPGASOLHEIM-SC26-EU,,
,KXPGASOLHEIM-SC26,KXPGASOLHEIM-SC26-TIE,,
,KXMLBWORLD-26,KXMLBWORLD-26-USA,,
,KXMLBWORLD-26,KXMLBWORLD-26-JP,,
,KXMLBWORLD-26,KXMLBWORLD-26-DO,,
,KXMLBWORLD-26,KXMLBWORLD-26-PR,,
,KXMLBWORLD-26,KXMLBWORLD-26-VE,,
,KXMLBWORLD-26,KXMLBWORLD-26-MX,,
,KXMLBWORLD-26,KXMLBWORLD-26-NL,,
,KXMLBWORLD-26,KXMLBWORLD-26-KR,,
,KXMLBWORLD-26,KXMLBWORLD-26-CU,,
,KXMLBWORLD-26,KXMLBWORLD-26-CO,,
,KXMLBWORLD-26,KXMLBWORLD-26-IT,,
,KXMLBWORLD-26,KXMLBWORLD-26-CA,,
,KXMLBWORLD-26,KXMLBWORLD-26-PA,,
,KXMLBWORLD-26,KXMLBWORLD-26-AU,,
,KXMLBWORLD-26,KXMLBWORLD-26-IL,,
,KXMLBWORLD-26,KXMLBWORLD-26-TW,,
,KXMLBWORLD-26,KXMLBWORLD-26-NI,,
,KXMLBWORLD-26,KXMLBWORLD-26-GB,,
,KXMLBWORLD-26,KXMLBWORLD-26-CZ,,
,KXMLBWORLD-26,KXMLBWORLD-26-BR,,
,KXSB-26,KXSB-26-ARI,,
,KXSB-26,KXSB-26-ATL,,
,KXSB-26,KXSB-26-BAL,,
,KXSB-26,KXSB-26-BUF,,
,KXSB-26,KXSB-26-CAR,,
,KXSB-26,KXSB-26-CHI,,
,KXSB-26,KXSB-26-CIN,,
,KXSB-26,KXSB-26-CLE,,
,KXSB-26,KXSB-26-DAL,,
,KXSB-26,KXSB-26-DEN,,
,KXSB-26,KXSB-26-DET,,
,KXSB-26,KXSB-26-GB,,
,KXSB-26,KXSB-26-HOU,,
,KXSB-26,KXSB-26-IND,,
,KXSB-26,KXSB-26-JAX,,
,KXSB-26,KXSB-26-KC,,
,KXSB-26,KXSB-26-LV,,
,KXSB-26,KXSB-26-LAC,,
,KXSB-26,KXSB-26-LAR,,
,KXSB-26,KXSB-26-MIA,,
,KXSB-26,KXSB-26-MIN,,
,KXSB-26,KXSB-26-NE,,
,KXSB-26,KXSB-26-NO,,
,KXSB-26,KXSB-26-NYG,,
,KXSB-26,KXSB-26-NYJ,,
,KXSB-26,KXSB-26-PHI,,
,KXSB-26,KXSB-26-PIT,,
,KXSB-26,KXSB-26-SF,,
,KXSB-26,KXSB-26-SEA,,
,KXSB-26,KXSB-26-TB,,
,KXSB-26,KXSB-26-TEN,,
,KXSB-26,KXSB-26-WAS,,
,KXNFLNFCCHAMP-25,KXNFLNFCCHAMP-25-ARI,,
,KXNFLNFCCHAMP-25,KXNFLNFCCHAMP-25-ATL,,
,KXNFLNFCCHAMP-25,KXNFLNFCCHAMP-25-CAR,,
